campaign,spend,cpc,ctr,cpa,roas
Verao Digital,12500,0.80,6.5,25.00,6.2
Black Friday Tech,25000,3.50,2.0,120.00,1.1
Natal Fashion,18000,2.20,3.8,55.00,3.4
Lancamento App X,9500,5.00,0.9,200.00,0.5
Promocao Fitness,14200,1.50,5.2,30.00,5.0
Dia das Maes,11000,2.40,3.0,60.00,2.8
Cyber Monday Eletronicos,22800,0.90,7.0,22.00,7.5
Festival de Musica,7600,4.20,1.2,150.00,0.8
Volta as Aulas,13400,2.10,3.5,48.00,3.2
Dia dos Namorados,10200,1.80,4.1,40.00,4.0
Inverno Gourmet,15800,2.70,3.6,52.00,3.6
Lancamento Carro Y,30000,6.00,0.7,250.00,0.4
Semana da Beleza,16500,1.20,5.8,28.00,5.8
Pascoa Chocolates,8900,2.50,2.9,70.00,2.0
Mega Promocao Games,20400,1.00,6.2,26.00,6.8
